s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2356719.0,4396034.0,3813601.0,5578229.0,450026.0,861466.0,678078.0,1011956.0,0.0,62.0
2480305.0,4627585.0,4015721.0,5871090.0,474246.0,907624.0,714900.0,1065716.0,0.0,61.0
2480924.0,4626882.0,4015890.0,5872885.0,474150.0,907799.0,715385.0,1065338.0,0.017543859779834747,61.0
2482598.0,4629366.0,4018131.0,5877724.0,474413.0,908664.0,716576.0,1067931.0,0.0,61.0
2482372.0,4629255.0,4017679.0,5876241.0,476348.0,909710.0,716063.0,1067984.0,0.0,61.0
2484833.0,4633682.0,4022735.0,5884625.0,476723.0,911305.0,718259.0,1072289.0,0.0,61.0
2483418.0,4631207.0,4019248.0,5877554.0,476220.0,910033.0,717570.0,1069586.0,0.017543859779834747,61.0
2485323.0,4634017.0,4022416.0,5884711.0,476500.0,912077.0,719361.0,1072748.0,0.0,61.0
2483728.0,4630704.0,4018746.0,5878458.0,476344.0,911691.0,718687.0,1071623.0,0.0,61.0
2484608.0,4633653.0,4022030.0,5883684.0,477838.0,913282.0,720062.0,1074619.0,0.0,61.0
2484457.0,4631393.0,4020818.0,5881485.0,478080.0,913276.0,720121.0,1074207.0,0.0,61.0
2484344.0,4633012.0,4021266.0,5884084.0,477849.0,913132.0,720452.0,1074758.0,0.0,62.0
2486171.0,4634493.0,4024176.0,5887159.0,479334.0,914974.0,720580.0,1077295.0,0.0,62.0
2361896.0,4403878.0,3823862.0,5594219.0,455266.0,869247.0,684600.0,1022993.0,0.0,62.0
2488068.0,4638714.0,4027844.0,5895869.0,479801.0,916142.0,722876.0,1080500.0,0.0,62.0
2488190.0,4637669.0,4027721.0,5893093.0,478675.0,915339.0,723111.0,1079304.0,0.0,63.0
2489776.0,4641959.0,4032123.0,5900126.0,480320.0,917821.0,724509.0,1081457.0,0.0,63.0
2365130.0,4408264.0,3828792.0,5600941.0,454902.0,870282.0,687772.0,1025794.0,0.0,63.0
2490055.0,4642516.0,4032680.0,5901365.0,480029.0,917057.0,724296.0,1083028.0,0.0,64.0
2487993.0,4638151.0,4027494.0,5892320.0,479375.0,914888.0,721879.0,1079253.0,0.0,64.0
2487732.0,4636735.0,4026069.0,5888865.0,479211.0,914386.0,720674.0,1076989.0,0.0,64.0
2485071.0,4631915.0,4022552.0,5883500.0,477866.0,913543.0,721254.0,1074483.0,0.017543859779834747,64.0
2482727.0,4627883.0,4015632.0,5871144.0,477308.0,911494.0,718038.0,1070845.0,0.0,65.0
2481699.0,4626190.0,4015012.0,5871069.0,475722.0,909636.0,717819.0,1070307.0,0.0,65.0
2353251.0,4388855.0,3808037.0,5564840.0,450297.0,862930.0,679976.0,1013234.0,0.0,65.0
2476206.0,4618587.0,4007456.0,5858701.0,474189.0,908424.0,715139.0,1066494.0,0.0,65.0
2349638.0,4381566.0,3800249.0,5551973.0,450139.0,861608.0,677528.0,1009757.0,0.0,65.0
2471153.0,4609396.0,3997488.0,5840188.0,472529.0,905787.0,712876.0,1061140.0,0.0,65.0
